number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eval_metric,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_train_size,state
0,0.6484652972152379,2023-11-17 18:35:44.122987,2023-11-17 18:41:44.779309,0 days 00:06:00.656322,1.0,error@0.7,0.1,0.05,4,5,100,0.2,3,0.8,4,COMPLETE
1,0.648629523045714,2023-11-17 18:42:07.485568,2023-11-17 18:59:42.721335,0 days 00:17:35.235767,1.0,logloss,0.1,0.04,4,8,500,0.2,3,0.9,4,COMPLETE
2,0.6398766598696971,2023-11-17 19:00:06.684162,2023-11-17 19:30:57.182991,0 days 00:30:50.498829,0.9,error@0.5,0.15000000000000002,0.05,4,9,1000,0.1,2,0.8,7,COMPLETE
3,0.634767128560431,2023-11-17 19:31:21.650623,2023-11-17 19:53:01.750820,0 days 00:21:40.100197,0.9,error@0.7,0.15000000000000002,0.04,5,7,1000,0.1,2,0.8,6,COMPLETE
4,0.6404075663946412,2023-11-17 19:53:24.371731,2023-11-17 20:02:37.956647,0 days 00:09:13.584916,0.9,error@0.7,0.15000000000000002,0.01,4,5,500,0.2,1,0.9,6,COMPLETE
5,0.6282051282051282,2023-11-17 20:03:00.205336,2023-11-17 20:05:18.771009,0 days 00:02:18.565673,0.8,logloss,0.15000000000000002,0.05,4,6,100,0.1,3,0.8,10,COMPLETE
6,0.6095987488392551,2023-11-17 20:05:40.688445,2023-11-17 20:08:42.688553,0 days 00:03:02.000108,0.9,logloss,0.2,0.01,3,6,100,0.1,2,1.0,9,COMPLETE
7,0.6500120569086086,2023-11-17 20:09:04.456469,2023-11-17 20:12:53.376297,0 days 00:03:48.919828,0.9,error@0.7,0.1,0.02,3,10,100,0.2,1,0.8,4,COMPLETE
8,0.6259865771812081,2023-11-17 20:13:15.215463,2023-11-17 20:31:28.208971,0 days 00:18:12.993508,0.8,logloss,0.1,0.02,4,5,1000,0.2,3,0.8,10,COMPLETE
9,0.6689799065632512,2023-11-17 20:31:50.105851,2023-11-17 20:44:45.075427,0 days 00:12:54.969576,0.8,error@0.5,0.2,0.04,5,8,500,0.2,3,1.0,2,COMPLETE
10,0.6691103715031034,2023-11-17 20:45:07.362922,2023-11-17 20:53:15.840699,0 days 00:08:08.477777,0.8,error@0.5,0.2,0.03,5,8,250,0.2,3,1.0,2,COMPLETE
11,0.6691103715031034,2023-11-17 20:53:38.717857,2023-11-17 20:57:34.868957,0 days 00:03:56.151100,0.8,error@0.5,0.2,0.03,5,8,250,0.2,3,1.0,2,COMPLETE
12,0.66779903450742,2023-11-17 20:57:58.330061,2023-11-17 21:00:50.247310,0 days 00:02:51.917249,0.8,error@0.5,0.2,0.03,5,9,250,0.2,3,1.0,2,COMPLETE
13,0.6675962576466354,2023-11-17 21:01:11.634316,2023-11-17 21:02:36.754925,0 days 00:01:25.120609,0.8,error@0.5,0.2,0.03,5,7,250,0.2,2,1.0,2,COMPLETE
14,0.6344947899476637,2023-11-17 21:02:58.300088,2023-11-17 21:05:21.854655,0 days 00:02:23.554567,0.8,error@0.5,0.2,0.02,5,9,250,0.2,3,0.9,5,COMPLETE
15,0.6573258243255519,2023-11-17 21:05:44.566927,2023-11-17 21:20:47.579922,0 days 00:15:03.012995,0.8,error@0.5,0.2,0.03,5,8,250,0.2,2,1.0,3,COMPLETE
16,0.6353012596752162,2023-11-17 21:21:11.026022,2023-11-17 21:38:08.182120,0 days 00:16:57.156098,0.8,error@0.5,0.2,0.02,5,10,250,0.2,3,0.9,8,COMPLETE
17,0.665110587382161,2023-11-17 21:38:31.525368,2023-11-17 22:07:38.030095,0 days 00:29:06.504727,1.0,error@0.5,0.15000000000000002,0.04,5,7,250,0.1,2,1.0,2,COMPLETE
18,0.6691832837411733,2023-11-17 22:08:00.572372,2023-11-17 22:24:05.091526,0 days 00:16:04.519154,0.8,error@0.5,0.2,0.03,3,9,250,0.2,1,1.0,2,COMPLETE
